id,twitterlink,caption,likes,shares,posttime,postdatetime,collecttime,videotranscriptionpath,videocontext,,politicalbias,misleading,criticism,videoaudiopairing,videocaptionpairing,audiocaptionparing,,label
32,https://x.com/WorldNews_X_/status/1985519156322848846,🛸📡Breaking: 3I ATLAS Sent a Mysterious Message to Earth Yesterday! 😨🌍Scientists Are Still Decoding the Signal… 🚨,2529,696,"5:27 PM · Nov 3, 2025",2025-11-04T01:27:10.000Z,2025/11/5 10:38,,,,,,,,,,,
33,https://x.com/DOGE__news/status/1985474569617244347,God bless him!,7493,560,"2:30 PM · Nov 3, 2025",2025-11-03T22:30:00.000Z,2025/11/5 10:45,,,,,,,,,,,
34,https://x.com/NewsAlgebraIND/status/1985575678272815304,"SHOCKING 🚨A drunk Canadian man attacked an Indian man simply because he believed that Indian was acting superior 😳INDIAN MAN : ""You might get yourself in trouble"" CANADIAN MAN : ""Did you say that to me?"" No fear of law and order in Canada?",3332,631,"9:11 PM · Nov 3, 2025",2025-11-04T05:11:46.000Z,2025/11/5 11:19,,,,,,,,,,,
35,https://x.com/FoxNews/status/1985783300649271392,"KAROLINE LEAVITT: “If the Nigerian government continues to allow the killing of Christians, the United States will immediately stop all aid and assistance to Nigeria and may take action to wipe out the Islamic terrorists who are committing these horrible atrocities.”",6567,2018,"10:56 AM · Nov 4, 2025",2025-11-04T18:56:47.000Z,2025/11/5 11:33,,,,,,,,,,,
36,https://x.com/BreitbartNews/status/1986087269946528192,"""Bust down the door!"" When a Florida police officer heard the chilling plea for help from a 7-year-old boy being held at knife point by his brother, he didn't hesitate to save the child.",163,42,"7:04 AM · Nov 5, 2025",2025-11-05T15:04:39.000Z,2025/11/5 11:44,,,,,,,,,,,
37,https://x.com/yoxics/status/1986136533792145753,Marlon was featured on the News during his USA stream tour which shut down streets in South Dakota due to the amount of fans who showed up 🤯,448,15,"10:20 AM · Nov 5, 2025",2025-11-05T18:20:24.000Z,2025/11/5 11:47,,,,,,,,,,,
38,https://x.com/RMXnews/status/1986013885409775838,"🇮🇹🔴Italian victim's family reacted with rage after Nigerian migrant Khalid De Greata was sentenced to only 12 years in prison due to ""boat stress"" from his journey to Italy over the Mediterranean. ""In 12 years, I'll kill him,"" said the son of the victim after the verdict, which was issued in 2019. The Nigerian slit the throat of 51-year-old Maurizio Gugliotta in a market in Turin, leaving the beloved father to bleed to death on the street. ""It's a disgrace, you're heartless,"" shouted Gugliotta's relatives when the verdict was read out. The judge issued the Nigerian a reduced sentence, which was upheld by the Italian Supreme Court in 2019, because he was a migrant and had ""boat stress"" from his journey to Italy. The family did not buy the diagnosis. ""I wonder why when he entered Italy they didn't notice, didn't check him in all these months during which he roamed around our country. Is it possible that they only discover he was crazy after he killed a man?"" said Gugliotta's widow at the time. The case dated back to Oct. 17, 2017. The Nigerian slashed Maurizio Gugliotta in the throat for no reason. Gugliotta fled the Turin market after being stabbed, only to die on the street after bleeding out. The Nigerian man was found by police shortly afterwards smoking a cigarette and calmly wiping blood from his knife.",10173,2415,"2:13 AM · Nov 5, 2025",2025-11-05T10:13:03.000Z,2025/11/5 11:51,,,,,,,,,,,
39,https://x.com/HouseJudiciary/status/1986073931313254614,"In his first days in office, Trump abruptly killed the ongoing DOJ investigation into Epstein's co-conspirators. Why did that happen? Who’s Trump trying to protect? https://cbsnews.com/news/jeffrey-epstein-co-conspirators-house-democrats-jamie-raskin/",1340,777,"6:11 AM · Nov 5, 2025",2025-11-05T14:11:39.000Z,2025/11/5 11:53,,,,,,,,,,,
40,https://x.com/SkyNews/status/1985993765689893334,"In a fiery acceptance speech, Mr Mamdani said: ""If anyone can show a nation betrayed by Donald Trump how to defeat him, it is the city that gave rise to him.""

@jamesmatthewsky
 dissects how The self-proclaimed 'worst nightmare' for Trump has been victorious in the mayoral race",200,48,"12:53 AM · Nov 5, 2025",2025-11-05T08:53:06.000Z,2025/11/5 11:56,,,,,,,,,,,
41,https://x.com/DOGE__news/status/1986053383321784482,The arrogance on that man's face.,608,98,"4:50 AM · Nov 5, 2025",2025-11-05T12:50:00.000Z,2025/11/5 11:59,,,,,,,,,,,
42,https://x.com/joeroganhq/status/1984077866024497225,"Trump: ""I met the head of Somalia. I suggested that maybe he'd like to take [Ilhan Omar] back. He said, 'I don't want her.'"" Still funny.",10917,685,"7:00 PM · Oct 30, 2025",2025-10-31T02:00:00.000Z,2025/11/5 12:01,,,,,,,,,,,
43,https://x.com/joeroganhq/status/1986111265815633954,"Joe Rogan: ""The Charlie Kirk thing opened up my eyes. I never expected so many people would celebrate that man's murder. That is evil...""",2460,240,"8:40 AM · Nov 5, 2025",2025-11-05T16:40:00.000Z,2025/11/5 12:05,,,,,,,,,,,
44,https://x.com/FoxNews/status/1986157765434482904,"JUST IN: Miami Mayor Francis Suarez gifts President Trump a golden key, saying, ""This is a key that opens some really nice presidential library real estate.""",220,43,"11:44 AM · Nov 5, 2025",2025-11-05T19:44:46.000Z,2025/11/5 12:08,,,,,,,,,,,
45,https://x.com/DOGE__news/status/1984988868542951455,This made me choke 🤣,3504,423,"6:20 AM · Nov 2, 2025",2025-11-02T14:20:00.000Z,2025/11/5 12:11,,,,,,,,,,,
46,https://x.com/joeroganhq/status/1986116301862150204,Why don't they recreate this interview? Should be fun.,270,53,"9:00 AM · Nov 5, 2025",2025-11-05T17:00:01.000Z,2025/11/5 12:16,,,,,,,,,,,
47,https://x.com/joeroganhq/status/1985871796554310002,"Elon Musk: ""Social Security, disability, Medicaid – acts like a giant magnet pulling people from all over the world. If you pay people at a standard of living above 90% of Earth, then 90% of Earth has a reason to come here.""",4201,582,"4:48 PM · Nov 4, 2025",2025-11-05T00:48:26.000Z,2025/11/5 12:17,,,,,,,,,,,
48,https://x.com/DOGE__news/status/1984966219477180446,This fact-check will forever live in history.,1879,243,"4:50 AM · Nov 2, 2025",2025-11-02T12:50:00.000Z,2025/11/5 12:22,,,,,,,,,,,
49,https://x.com/SABCNews/status/1986108641464738219,WATCH | Lt-Gen. Dumisani Khumalo says that Brigadier Dineo Mokwele is qualified in mechatronics and was recruited directly from BMW. He adds that she was a supervisor of technicians in both mechanical and electrical work and met all the requirements to be hired.,478,140,"8:29 AM · Nov 5, 2025",2025-11-05T16:29:34.000Z,2025/11/5 12:25,,,,,,,,,,,
50,https://x.com/DailyLoud/status/1986160566616900057,Former FOX 2 News anchor charged with murder after allegedly stabbing her 80-year-old mother to death on Halloween.,53,12,"11:55 AM · Nov 5, 2025",2025-11-05T19:55:54.000Z,2025/11/5 12:26,,,,,,,,,,,
51,https://x.com/FoxNews/status/1986146156661879131,"PRESIDENT TRUMP: “I'm pleased to report that today the United States has the strongest economy, the strongest borders, the strongest military, the strongest friendships and the strongest spirit of any nation anywhere... This is the golden age of America.”",1067,237,"10:58 AM · Nov 5, 2025",2025-11-05T18:58:39.000Z,2025/11/5 12:29,,,,,,,,,,,
52,https://x.com/afshinrattansi/status/1986115084737749379,Italian Journalist Gabriele Nunziati: “You've said that Russia should repay for reconstruction of Ukraine. Do you believe Israel should repay for reconstruction of Gaza?” EU chief spokesperson: “I have no comment at this stage.” This journalist was fired from the Nova ‘news organisation’ in Italy for asking this question. Freedom of the press in Europe-only if you ask questions that don’t expose Europe’s blatant hypocrisy.,482,218,"8:55 AM · Nov 5, 2025",2025-11-05T16:55:11.000Z,2025/11/5 13:03,,,,,,,,,,,
53,https://x.com/TheThe1776/status/1985872715111415992,"Why is this ""breaking news"" now? A leaked document proves BBC edited Trump's Jan. 6 speech, splicing early ""peacefully march to the Capitol"" with a later ""fight like hell"" to imply insurrection. We knew this years ago, this man made videos on Jan. 7, but they got flagged as misinformation. Crazier: Trump tweeted ""go home,"" Twitter deleted it, banned him, then asked why he stayed silent. Everyone involved with the Jan 6 coup should be held accountable. This coup has destroyed many innocent lives and a few lost their lives because of it.",3804,1174,"4:52 PM · Nov 4, 2025",2025-11-05T00:52:05.000Z,2025/11/5 13:05,,,,,,,,,,,
54,https://x.com/BarronTNews_/status/1986078375987781686,"🚨LMFAO! President Trump had the whole room in TEARS laughing tonight retelling how a Chinese official froze like a statue next to Xi “I said, I want MY cabinet to behave like that! Sit up straight! I’ve never seen men so scared in my life.” “I asked one of them a question—nothing. I said, you gonna answer me? Still nothing! Another guy finally says, ‘I will answer all questions.’” Then Trump turns and jokes, “JD doesn’t behave like that! JD jumps right in! I want that for at least a few days, OK?” 😂Classic Trump — commanding the room and cracking everyone up at once.",2050,362,"6:29 AM · Nov 5, 2025",2025-11-05T14:29:19.000Z,2025/11/5 13:09,,,,,,,,,,,
55,https://x.com/EricLDaugh/status/1986166724358475805,"🚨GREAT NEWS: Sen. Tommy Tuberville is READY to nuke the filibuster. He’s with Trump. https://x.com/ReshadHudson/status/1986121284040991181/video/1 ""If we need to bust it, let's bust it. Let's knock it down to 51 and let the Senate know that the power needs to go to the president and let him get something done. If we don't, we're going to lose our country!” HES SO RIGHT! Get it done!",2552,550,"12:20 PM · Nov 5, 2025",2025-11-05T20:20:22.000Z,2025/11/5 13:11,,,,,,,,,,,
